njet,bjet,ht_low,ht_high,mht_low,mht_high,bkg,bkg_err,data
eq4j,eq2b,900.0,1200.0,900,inf,0.230257,0.053193,1.0
eq4j,eq2b,1200.0,inf,200,400.0,0.684796,0.114296,1.0
eq4j,eq2b,1200.0,inf,400,600.0,1.708888,0.267521,0.0
eq4j,eq2b,1200.0,inf,600,900.0,0.662802,0.118389,0.0
eq4j,eq2b,1200.0,inf,900,inf,0.584557,0.126762,1.0
eq4j,eq3b,400.0,600.0,200,400.0,42.108459,3.355078,35.0
eq4j,eq3b,400.0,600.0,400,inf,2.051343,0.208505,1.0
eq4j,eq3b,600.0,900.0,200,400.0,3.312291,0.399624,6.0
eq4j,eq3b,600.0,900.0,400,600.0,1.559686,0.148444,0.0
eq4j,eq3b,600.0,900.0,600,inf,0.20681,0.024766,0.0
eq4j,eq3b,900.0,inf,200,400.0,0.722536,0.170401,0.0
eq4j,eq3b,900.0,inf,400,600.0,0.423047,0.087788,0.0
eq4j,eq3b,900.0,inf,600,900.0,0.150236,0.02994,0.0
eq4j,eq3b,900.0,inf,900,inf,0.03563,0.008015,0.0
eq5j,eq0b,400.0,600.0,200,400.0,1113.532959,33.026948,1132.0
eq5j,eq0b,400.0,600.0,400,inf,70.81646,5.794752,59.0
eq5j,eq0b,600.0,900.0,200,400.0,470.847046,17.608853,435.0
eq5j,eq0b,600.0,900.0,400,600.0,187.065704,9.390008,201.0
eq5j,eq0b,600.0,900.0,600,inf,26.653801,2.449119,17.0
eq5j,eq0b,900.0,1200.0,200,400.0,120.723557,8.022421,124.0
eq5j,eq0b,900.0,1200.0,400,600.0,58.121834,4.199755,59.0
eq5j,eq0b,900.0,1200.0,600,inf,28.323212,2.717219,28.0
eq5j,eq0b,1200.0,inf,200,400.0,9.795197,1.415481,7.0
eq5j,eq0b,1200.0,inf,400,600.0,14.391287,1.815138,16.0
eq5j,eq0b,1200.0,inf,600,900.0,9.12953,1.325776,7.0
eq5j,eq0b,1200.0,inf,900,inf,4.841287,0.855814,6.0
eq5j,eq1b,400.0,600.0,200,400.0,585.756775,21.686456,591.0
eq5j,eq1b,400.0,600.0,400,inf,23.472816,2.393247,22.0
