njet,bjet,ht_low,ht_high,mht_low,mht_high,bkg,bkg_err,data
eq5j,eq0b,1200.0,inf,200,400.0,18.11141,4.937957,7.0
eq5j,eq0b,1200.0,inf,400,600.0,23.076511,5.032914,16.0
eq5j,eq0b,1200.0,inf,600,900.0,13.246271,3.531389,7.0
eq5j,eq0b,1200.0,inf,900,inf,6.249508,2.623698,6.0
eq5j,eq1b,400.0,600.0,200,400.0,608.648621,101.207145,591.0
eq5j,eq1b,400.0,600.0,400,inf,22.022831,4.414461,22.0
eq5j,eq1b,600.0,900.0,200,400.0,194.071106,30.514768,198.0
eq5j,eq1b,600.0,900.0,400,600.0,55.237106,9.867261,50.0
eq5j,eq1b,600.0,900.0,600,inf,5.915679,1.542835,11.0
eq5j,eq1b,900.0,1200.0,200,400.0,40.984818,6.785765,33.0
eq5j,eq1b,900.0,1200.0,400,600.0,16.925856,2.816597,15.0
eq5j,eq1b,900.0,1200.0,600,inf,6.953123,1.832991,9.0
eq5j,eq1b,1200.0,inf,200,400.0,4.526434,1.173957,4.0
eq5j,eq1b,1200.0,inf,400,600.0,6.088765,1.315596,3.0
eq5j,eq1b,1200.0,inf,600,900.0,2.80118,0.72125,5.0
eq5j,eq1b,1200.0,inf,900,inf,1.639721,0.674681,2.0
eq5j,eq2b,400.0,600.0,200,400.0,273.943787,49.334431,284.0
eq5j,eq2b,400.0,600.0,400,inf,4.821023,0.946757,10.0
eq5j,eq2b,600.0,900.0,200,400.0,67.476723,11.512633,63.0
eq5j,eq2b,600.0,900.0,400,600.0,16.520363,2.712867,16.0
eq5j,eq2b,600.0,900.0,600,inf,1.337015,0.331077,0.0
eq5j,eq2b,900.0,1200.0,200,400.0,10.474442,1.831822,5.0
eq5j,eq2b,900.0,1200.0,400,600.0,3.51744,0.621466,5.0
eq5j,eq2b,900.0,1200.0,600,inf,1.531017,0.397861,1.0
eq5j,eq2b,1200.0,inf,200,400.0,0.955738,0.231384,0.0
eq5j,eq2b,1200.0,inf,400,600.0,1.229689,0.269335,2.0
eq5j,eq2b,1200.0,inf,600,900.0,0.445044,0.110742,1.0
eq5j,eq2b,1200.0,inf,900,inf,0.251829,0.109269,1.0
eq5j,eq3b,400.0,600.0,200,400.0,27.972584,5.318254,25.0
eq5j,eq3b,400.0,600.0,400,inf,0.333019,0.060701,1.0
eq5j,eq3b,600.0,900.0,200,400.0,7.475805,1.301597,7.0
eq5j,eq3b,600.0,900.0,400,600.0,1.544911,0.256511,3.0
eq5j,eq3b,600.0,900.0,600,inf,0.106584,0.028871,0.0
eq5j,eq3b,900.0,inf,200,400.0,1.056596,0.212193,0.0
eq5j,eq3b,900.0,inf,400,600.0,0.438267,0.088026,0.0
eq5j,eq3b,900.0,inf,600,inf,0.198237,0.05358,0.0
eq5j,ge4b,400.0,inf,200,400.0,1.776418,0.37314,2.0
eq5j,ge4b,400.0,inf,400,inf,0.142082,0.030862,1.0
ge2a,eq0b,200.0,400.0,200,inf,101411.359375,12004.098713,116868.0
ge2a,eq0b,400.0,600.0,200,400.0,2909.431641,417.236576,2932.0
ge2a,eq0b,400.0,600.0,400,inf,2582.240234,413.088998,2800.0
ge2a,eq0b,600.0,900.0,200,400.0,22.731991,5.067568,31.0
ge2a,eq0b,600.0,900.0,400,600.0,63.797211,11.764067,75.0
ge2a,eq0b,600.0,900.0,600,inf,198.872894,38.298599,211.0
ge2a,eq0b,900.0,inf,200,900.0,31.77784,9.628193,28.0
ge2a,eq0b,900.0,inf,900,inf,50.309559,15.394372,54.0
ge2a,eq1b,200.0,400.0,200,inf,13333.642578,1386.640948,16307.0
ge2a,eq1b,400.0,600.0,200,400.0,969.090454,117.166089,1042.0
ge2a,eq1b,400.0,600.0,400,inf,275.768555,42.041908,310.0
ge2a,eq1b,600.0,900.0,200,400.0,13.717409,2.739091,8.0
ge2a,eq1b,600.0,900.0,400,600.0,11.387604,1.834475,12.0
ge2a,eq1b,600.0,900.0,600,inf,21.456886,4.015679,26.0
ge2a,eq1b,900.0,inf,200,900.0,3.928667,1.139807,5.0
ge2a,eq1b,900.0,inf,900,inf,6.322533,1.862527,7.0
ge2a,eq2b,200.0,400.0,200,inf,1856.50769,195.860512,2200.0
ge2a,eq2b,400.0,600.0,200,400.0,373.857208,46.464419,410.0
ge2a,eq2b,400.0,600.0,400,inf,23.876301,3.703802,35.0
ge2a,eq2b,600.0,900.0,200,400.0,5.887508,1.195803,4.0
ge2a,eq2b,600.0,900.0,400,600.0,2.27116,0.340803,4.0
ge2a,eq2b,600.0,900.0,600,inf,1.730632,0.339522,2.0
ge2a,eq2b,900.0,inf,200,900.0,0.597884,0.121785,1.0
ge2a,eq2b,900.0,inf,900,inf,0.449116,0.130253,0.0
ge2a,eq3b,200.0,400.0,200,inf,70.7314,8.692608,92.0
ge2a,eq3b,400.0,600.0,200,400.0,34.434994,4.909715,38.0
ge2a,eq3b,400.0,600.0,400,inf,0.632507,0.102019,2.0
ge2a,eq3b,600.0,inf,200,400.0,0.878752,0.206592,1.0
ge2a,eq3b,600.0,inf,400,600.0,0.156355,0.029921,0.0
ge2a,eq3b,600.0,inf,600,inf,0.090193,0.018406,0.0
ge6j,eq0b,400.0,600.0,200,inf,193.657913,36.350606,164.0
ge6j,eq0b,600.0,900.0,200,400.0,278.001892,58.643409,210.0
ge6j,eq0b,600.0,900.0,400,inf,68.082397,36.734238,56.0
ge6j,eq0b,900.0,1200.0,200,400.0,94.427719,31.097399,64.0
ge6j,eq0b,900.0,1200.0,400,600.0,34.223572,15.329087,32.0
ge6j,eq0b,900.0,1200.0,600,inf,11.971005,10.194673,9.0
ge6j,eq0b,1200.0,inf,200,400.0,18.260489,9.913395,12.0
ge6j,eq0b,1200.0,inf,400,600.0,16.812401,4.05262,9.0
ge6j,eq0b,1200.0,inf,600,900.0,8.591109,5.050465,11.0
ge6j,eq0b,1200.0,inf,900,inf,2.7711,3.073917,5.0
ge6j,eq1b,400.0,600.0,200,inf,135.535233,30.071116,121.0
ge6j,eq1b,600.0,900.0,200,400.0,154.280441,33.302263,148.0
ge6j,eq1b,600.0,900.0,400,inf,25.337248,9.429161,26.0
ge6j,eq1b,900.0,1200.0,200,400.0,41.681591,11.477845,42.0
ge6j,eq1b,900.0,1200.0,400,600.0,12.140152,4.113597,11.0
ge6j,eq1b,900.0,1200.0,600,inf,3.348958,2.465307,1.0
ge6j,eq1b,1200.0,inf,200,400.0,7.424611,3.374138,6.0
ge6j,eq1b,1200.0,inf,400,600.0,5.931293,1.450744,5.0
ge6j,eq1b,1200.0,inf,600,900.0,2.612388,1.425538,5.0
ge6j,eq1b,1200.0,inf,900,inf,0.837908,0.873927,0.0
ge6j,eq2b,400.0,600.0,200,inf,69.487267,16.731379,58.0
ge6j,eq2b,600.0,900.0,200,400.0,74.428459,17.111171,85.0
ge6j,eq2b,600.0,900.0,400,inf,8.48764,2.557549,8.0
ge6j,eq2b,900.0,1200.0,200,400.0,17.914288,4.937858,11.0
ge6j,eq2b,900.0,1200.0,400,600.0,4.218277,1.170082,3.0
ge6j,eq2b,900.0,1200.0,600,inf,0.834733,0.532196,0.0
ge6j,eq2b,1200.0,inf,200,400.0,2.509093,1.021211,0.0
ge6j,eq2b,1200.0,inf,400,600.0,1.645531,0.444197,0.0
ge6j,eq2b,1200.0,inf,600,900.0,0.618039,0.317244,2.0
ge6j,eq2b,1200.0,inf,900,inf,0.192437,0.174512,0.0
ge6j,eq3b,400.0,600.0,200,inf,8.908909,2.329293,14.0
ge6j,eq3b,600.0,900.0,200,400.0,11.087637,2.671173,20.0
ge6j,eq3b,600.0,900.0,400,inf,1.132163,0.34634,3.0
ge6j,eq3b,900.0,1200.0,200,400.0,2.980595,0.869278,4.0
ge6j,eq3b,900.0,1200.0,400,600.0,0.613356,0.184492,0.0
ge6j,eq3b,900.0,1200.0,600,inf,0.130249,0.063712,0.0
ge6j,eq3b,1200.0,inf,200,400.0,0.398526,0.164178,1.0
ge6j,eq3b,1200.0,inf,400,600.0,0.248091,0.077614,0.0
ge6j,eq3b,1200.0,inf,600,900.0,0.085507,0.038463,1.0
ge6j,eq3b,1200.0,inf,900,inf,0.023877,0.021558,0.0
ge6j,ge4b,400.0,600.0,200,inf,2.457603,0.701825,4.0
